Nome, X, Y, Tipo
A, 10.03665007780716, 4.387201584752024, Nenhum
B, 11.337135001832138, 4.300502589817024, Nenhum
C, 10.881965278423396, 4.972419800563274, Nenhum
D, 10.535169298683401, 3.8019833689407747, Nenhum
E, 12.074076458779626, 4.864046056894524, Nenhum
F, 12.838875698475249, 9.007470672639036, Nenhum
G, 11.435971462922744, 8.734475112301329, Nenhum
H, 12.81278800849801, 9.764013681978948, Nenhum
I, 11.315334453558286, 10.086926582393637, Nenhum
J, 13.258281379633475, 14.353738585085836, Nenhum
K, 11.262351489417181, 14.972852745313856, Nenhum
L, 11.348541137102812, 15.67350114788425, Nenhum
C_1, 15.11297999596173, 15.470145416820834, Nenhum
A_{2}, 11.46154216734762, 16.12840685836374, Nenhum
B_{2}, 11.5803848673034, 16.663199008164725, Nenhum
C_{2}, 11.509079247329932, 17.186106887970134, Nenhum
D_{2}, 11.378352277378578, 17.554519257833036, Nenhum
E_{1}, 11.201475082953541, 17.865169363484192, Nenhum
F_{1}, 11.00647035677998, 18.303074035229663, Nenhum
G_{1}, 10.905590340066734, 18.637895423934097, Nenhum
H_{1}, 10.905590340066734, 19.069476703265494, Nenhum
I_{1}, 10.941933446868589, 19.416479586488045, Nenhum
J_{1}, 15.115416962583458, 16.138605522229817, Nenhum
K_{1}, 14.980578667753012, 16.637507213102438, Nenhum
L_{1}, 15.088449303617365, 17.109441245008966, Nenhum
M_{1}, 15.252099587773804, 17.531901174833784, Nenhum
N_{1}, 15.395357741678382, 17.78825787129461, Nenhum
O_{1}, 15.538615895582964, 18.059694373429608, Nenhum
P_{1}, 15.591395215442546, 18.391450098261274, Nenhum
Q_{1}, 15.64417453530212, 18.708126017418778, Nenhum
R_{1}, 15.606475021116708, 19.0625014507617, Nenhum
S_{1}, 15.526830360118012, 19.337842450552976, Nenhum
T_1, 13.414393812980032, 14.948917237219568, Nenhum
A_{5}, 10.609046134397259, 19.905510668631024, Nenhum
U_1, 10.294176226293079, 19.909775842776114, Nenhum
V_1, 9.982761430021906, 19.82257969982018, Nenhum
W_1, 9.63397685819819, 19.7478401487151, Nenhum
Z_1, 9.297648878225322, 19.735383556864257, Nenhum
I_2, 9.035262193662534, 19.74600950321104, Nenhum
J_2, 8.710857712509712, 19.881178037024718, Nenhum
K_2, 8.467554351645095, 20.002829717457026, Nenhum
L_2, 8.11969957063528, 20.093652210357078, Nenhum
M_2, 7.850023799863559, 20.219756684641226, Nenhum
N_2, 7.125836087476423, 20.052321285099993, Nenhum
O_2, 6.876840125191371, 20.00177832644055, Nenhum
P_2, 6.615568348082572, 19.974367654274594, Nenhum
Q_2, 6.372577702760723, 19.999945616940053, Nenhum
R_2, 5.86741294011793, 20.019129088939145, Nenhum
S_2, 5.646177816875899, 20.0817802034706, Nenhum
T_2, 5.399495977783194, 20.149802154652143, Nenhum
E_2, 10.811933010631094, 21.506164796473946, Nenhum
F_2, 15.73355124595179, 21.410610302570944, Nenhum
G_2, 10.5262892616018, 21.42926071019683, Nenhum
H_2, 10.306563300810035, 21.269959388622794, Nenhum
Z_2, 10.0593715949193, 21.099671769009177, Nenhum
A_3, 9.782136169579127, 21.131486365471844, Nenhum
P_3, 9.465195559249912, 21.224704192039262, Nenhum
Q_3, 9.092324252980246, 21.21538240938252, Nenhum
R_3, 8.747418294680806, 21.159451713442067, Nenhum
S_3, 8.449121249665072, 21.084877452188138, Nenhum
T_3, 8.196579705851637, 20.93772564479079, Nenhum
U_2, 7.898317897301535, 20.925033652937593, Nenhum
V_2, 7.34454016809932, 20.125369866404235, Nenhum
W_2, 6.116798076106145, 19.993551126273687, Nenhum
B_3, 7.612545705310987, 20.186589514132585, Nenhum
C_3, 5.181280159333527, 20.314676328591887, Nenhum
D_3, 4.727690351141843, 20.16448870818455, Nenhum
E_3, 4.428652540185926, 20.332459131591, Nenhum
F_3, 4.435512077989038, 20.739317702104742, Nenhum
G_3, 5.016692773499509, 21.129947349906857, Nenhum
H_3, 4.73721790352726, 20.866351733910307, Nenhum
I_3, 5.172309462461329, 20.698031641767933, Nenhum
J_3, 5.47688461029087, 20.765079772527784, Nenhum
K_3, 5.7109886395011715, 20.796593776459943, Nenhum
L_3, 5.936088667587998, 20.846115782639046, Nenhum
M_3, 6.174694697360035, 20.88663378769467, Nenhum
N_3, 6.413300727132072, 20.90464178994162, Nenhum
O_3, 6.629396754095426, 20.913645791065093, Nenhum
Z_3, 7.688593430462655, 20.936818390151387, Nenhum
B_4, 7.480274860263633, 20.91814779162683, Nenhum
D_4, 7.23716682992986, 20.913645791065093, Nenhum
E_4, 7.043580805775188, 20.922649792188565, Nenhum
F_4, 6.822982778250098, 20.922649792188565, Nenhum
U_3, 16.083383761078057, 21.385180068407458, Nenhum
V_3, 16.40775893954411, 21.277055008918772, Nenhum
W_3, 16.688559516174948, 21.07585719653438, Nenhum
A_4, 17.01256954434629, 21.007127796619244, Nenhum
C_4, 17.463524379621962, 21.047929670846507, Nenhum
G_4, 17.77900962133524, 21.131055998483077, Nenhum
H_4, 18.13081104303024, 21.217971643843015, Nenhum
I_4, 18.710248678763175, 21.271776567161076, Nenhum
J_4, 19.02893937841629, 21.230388164608726, Nenhum
K_4, 19.347630078069404, 21.160027880269723, Nenhum
L_4, 19.62428674112137, 21.066038710832217, Nenhum
M_4, 20.933222647846357, 20.93469192574984, Nenhum
N_4, 21.22131195433412, 20.962368368451394, Nenhum
P_4, 22.302124866659053, 20.93141348689541, Nenhum
Q_4, 22.66244427393229, 20.679362133882528, Nenhum
